name,unit,date,value,desc,doc
C,20,01/01/2013,78.3,All items,
C,20,02/01/2013,79.4,All items,
C,20,03/01/2013,79.5,All items,
C,20,04/01/2013,80.1,All items,
C,20,05/01/2013,80.2,All items,
C,20,06/01/2013,80.4,All items,
C,20,07/01/2013,80.7,All items,
C,20,08/01/2013,81.1,All items,
C,20,09/01/2013,81.3,All items,
C,20,10/01/2013,81.4,All items,
C,20,11/01/2013,81.4,All items,
C,20,12/01/2013,81.6,All items,
C,20,01/01/2014,81.9,All items,
C,20,02/01/2014,83.1,All items,
C,20,03/01/2014,83.6,All items,
C,20,04/01/2014,84.3,All items,
C,20,05/01/2014,84.6,All items,
C,20,06/01/2014,84.6,All items,
C,20,07/01/2014,85.7,All items,
C,20,08/01/2014,86.0,All items,
C,20,09/01/2014,86.4,All items,
C,20,10/01/2014,86.5,All items,
C,20,11/01/2014,86.7,All items,
C,20,12/01/2014,86.6,All items,
C,20,01/01/2015,86.5,All items,
C,20,02/01/2015,87.2,All items,
C,20,03/01/2015,87.5,All items,
C,20,04/01/2015,88.5,All items,
C,20,05/01/2015,89.1,All items,
C,20,06/01/2015,89.5,All items,
C,20,07/01/2015,89.9,All items,
C,20,08/01/2015,90.1,All items,
C,20,09/01/2015,90.3,All items,
C,20,10/01/2015,90.4,All items,
C,20,11/01/2015,90.6,All items,
C,20,12/01/2015,90.8,All items,
C,20,01/01/2016,91.3,All items,
C,20,02/01/2016,93.6,All items,
C,20,03/01/2016,94.4,All items,
C,20,04/01/2016,96.0,All items,
C,20,05/01/2016,96.2,All items,
C,20,06/01/2016,96.2,All items,
C,20,07/01/2016,96.5,All items,
C,20,08/01/2016,97.3,All items,
C,20,09/01/2016,97.8,All items,
C,20,10/01/2016,97.9,All items,
C,20,11/01/2016,98.5,All items,
C,20,12/01/2016,98.7,All items,
C,20,01/01/2017,98.9,All items,
C,20,02/01/2017,99.9,All items,
C,20,03/01/2017,100.0,All items,
C,20,04/01/2017,102.8,All items,
C,20,05/01/2017,103.1,All items,
C,20,06/01/2017,102.8,All items,
C,20,07/01/2017,103.0,All items,
C,20,08/01/2017,103.0,All items,
C,20,09/01/2017,103.0,All items,
C,20,10/01/2017,103.1,All items,
C,20,11/01/2017,103.3,All items,
C,20,12/01/2017,103.4,All items,
C,20,01/01/2018,103.4,All items,
C,20,02/01/2018,104.0,All items,
C,20,03/01/2018,104.0,All items,
C,20,04/01/2018,107.7,All items,
C,20,05/01/2018,108.0,All items,
C,20,06/01/2018,110.1,All items,
C,20,07/01/2018,110.6,All items,
C,20,08/01/2018,111.1,All items,
C,20,09/01/2018,112.0,All items,
C.01,20,01/01/2013,72.0,Food and non-alcoholic beverages,
C.01,20,02/01/2013,72.8,Food and non-alcoholic beverages,
C.01,20,03/01/2013,73.0,Food and non-alcoholic beverages,
C.01,20,04/01/2013,72.8,Food and non-alcoholic beverages,
C.01,20,05/01/2013,72.9,Food and non-alcoholic beverages,
C.01,20,06/01/2013,73.0,Food and non-alcoholic beverages,
C.01,20,07/01/2013,73.5,Food and non-alcoholic beverages,
C.01,20,08/01/2013,73.4,Food and non-alcoholic beverages,
C.01,20,09/01/2013,74.0,Food and non-alcoholic beverages,
C.01,20,10/01/2013,74.0,Food and non-alcoholic beverages,
C.01,20,11/01/2013,73.9,Food and non-alcoholic beverages,
C.01,20,12/01/2013,74.3,Food and non-alcoholic beverages,
C.01,20,01/01/2014,75.3,Food and non-alcoholic beverages,
C.01,20,02/01/2014,76.1,Food and non-alcoholic beverages,
C.01,20,03/01/2014,76.7,Food and non-alcoholic beverages,
C.01,20,04/01/2014,77.6,Food and non-alcoholic beverages,
C.01,20,05/01/2014,78.3,Food and non-alcoholic beverages,
