Code,Description,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer price index (March 2017 - 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,All items,78.3,79.4,79.5,80.1,80.2,80.4,80.7,81.1,81.3,81.4,81.4,81.6,81.9,83.1,83.6,84.3,84.6,84.6,85.7,86.0,86.4,86.5,86.7,86.6,86.5,87.2,87.5,88.5,89.1,89.5,89.9,90.1,90.3,90.4,90.6,90.8,91.3,93.6,94.4,96.0,96.2,96.2,96.5,97.3,97.8,97.9,98.5,98.7,98.9,99.9,100.0,102.8,103.1,102.8,103.0,103.0,103.0,103.1,103.3,103.4,103.4,104.0,104.0,107.7,108.0,110.1,110.6,111.1,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.01,Food and non-alcoholic beverages,72.0,72.8,73.0,72.8,72.9,73.0,73.5,73.4,74.0,74.0,73.9,74.3,75.3,76.1,76.7,77.6,78.3,78.3,78.5,78.7,78.9,79.2,79.3,78.8,78.8,80.1,80.0,80.5,81.0,81.7,81.2,81.4,82.2,82.2,82.4,83.0,84.0,88.5,90.7,92.8,93.2,93.0,93.8,95.6,96.5,96.6,97.8,98.7,98.7,99.8,100.0,101.5,101.9,100.9,101.3,101.2,101.2,101.1,101.3,101.3,101.1,101.0,100.9,100.6,100.6,101.0,101.8,103.1,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.02,"Alcohol beverages, tobacco and narcotics",83.1,83.9,84.0,83.7,84.6,84.9,85.1,85.0,84.7,84.8,84.8,85.7,86.2,86.4,89.5,90.7,91.0,91.0,91.4,91.6,91.5,90.7,91.1,91.6,91.6,91.3,93.4,94.4,94.4,94.2,94.3,94.1,92.2,94.2,94.4,94.4,94.6,94.6,95.1,97.6,96.1,96.4,96.6,96.8,96.8,98.8,99.5,99.5,99.4,99.6,100.0,101.2,103.0,103.2,103.7,104.6,104.9,105.3,105.5,105.4,105.8,105.8,105.7,105.9,105.9,107.0,107.2,107.6,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.03,Clothing and footware,75.3,75.1,75.2,75.5,75.9,76.1,76.6,77.3,77.6,78.3,78.5,78.7,78.9,79.2,81.3,81.5,81.6,81.8,82.1,82.7,83.5,84.5,85.2,85.7,86.4,87.6,87.9,88.0,88.1,88.7,88.6,88.6,89.1,90.4,90.7,90.6,90.3,91.9,92.9,92.8,93.3,93.7,94.3,95.0,97.1,98.3,98.8,98.9,99.2,100.0,100.0,99.7,100.2,100.5,100.1,99.1,98.6,98.1,98.1,97.9,97.5,97.3,97.8,97.8,98.2,98.2,98.7,98.7,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.04,"Housing, water, electricity, gas, and other fuels",84.4,84.4,84.3,87.7,87.7,88.2,88.4,88.8,88.8,88.8,88.8,88.9,89.0,89.0,89.2,90.6,90.6,90.7,90.8,90.8,91.1,91.0,91.1,91.3,91.3,91.1,91.9,93.5,95.2,95.1,96.3,96.0,96.0,96.2,96.2,96.3,96.5,96.5,96.5,99.5,99.6,99.9,99.9,99.8,99.8,99.8,99.8,99.8,99.8,100.0,100.0,107.7,107.8,107.8,107.9,107.9,107.9,108.0,108.0,108.0,108.0,108.1,108.1,122.0,122.7,122.9,123.5,124.0,124.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.041,Actual rentals for housing,88.2,88.2,88.2,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.8,92.8,92.8,92.8,93.8,96.3,96.3,96.3,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,122.8,122.8,122.8,122.8,122.8,122.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.05,"Furnishing, household equipment and routine household maintenance",80.9,81.0,81.7,81.5,82.1,81.7,81.7,82.0,82.3,82.7,83.1,83.7,84.1,84.0,84.1,84.8,85.3,85.8,86.1,86.6,87.2,87.2,87.4,86.7,87.6,87.7,87.3,87.7,88.0,89.3,89.2,89.7,90.4,90.6,91.1,91.4,91.6,92.6,92.9,92.9,93.6,93.5,94.4,95.2,96.4,95.9,99.3,99.3,100.4,100.1,100.0,100.1,100.9,101.4,101.8,101.7,101.6,102.5,102.7,101.7,102.1,102.4,103.0,103.9,104.3,105.0,105.9,106.3,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.06,Health,86.5,86.4,86.5,86.4,86.5,86.5,86.5,95.4,95.6,95.7,95.7,95.7,95.7,95.7,95.3,95.8,95.7,95.6,95.6,98.1,98.0,98.1,98.4,98.7,98.7,99.0,99.1,99.3,99.7,99.7,99.7,99.5,99.7,99.7,99.6,99.7,99.7,99.3,99.3,99.6,99.5,99.5,99.6,99.9,99.8,100.1,100.1,100.2,100.1,100.2,100.0,100.1,100.1,100.1,100.0,100.1,100.4,100.5,100.7,100.9,101.1,101.1,101.1,101.2,101.3,101.8,102.3,102.8,103.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.07,Transport,78.3,78.2,78.0,78.2,78.2,78.2,78.9,79.0,79.0,79.0,79.0,79.1,79.1,79.5,80.9,80.9,81.0,80.8,89.2,89.5,91.5,91.7,91.6,90.7,89.4,87.4,87.4,87.6,87.7,88.6,89.6,90.0,88.7,89.2,89.8,89.8,90.8,97.8,98.1,97.8,97.6,97.5,97.5,97.9,97.9,98.0,98.0,98.2,98.5,99.7,100.0,100.6,100.9,100.9,101.2,101.3,101.3,102.0,102.3,103.7,104.1,104.3,103.9,103.9,104.4,104.9,105.4,105.9,106.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
